STATE,estuary,DLAT,DLONG,CONDITION,CLASSIFICATION,SUBCLASS,BARRIER_BACKBARRIER,CENTRAL_BASIN,FLUVIAL_BAYHEAD_DELTA,FLOOD_EBB_DELTA,INTERTIDAL_FLATS,MANGROVE,SALTMARSH_SALTFLAT,TIDAL_SANDBANKS,ROCKY_REEF,CORAL,CHANNEL,BEDROCK,FLOODPLAIN,BEDROCK_PERIMETER,PERIMETER,CATCHMENTAREA,WATERAREA,MAXLENGTH,MAXWIDTH,ENTLENGTH,ENTRANCEWIDTH,MEANWAVEHEIGHT,MEANWAVEPERIOD,MAXWAVEHEIGHT,MAXWAVEPERIOD,TIDALRANGE,TIDALTYPE
NSW,Arrawarra/Yarrawarra Creek,-30.058,153.197,largely unmodified,wave dominated,OTHER,0.03502,,,0.05937,0.01822,0.02372,,,,,0.11493,,,,2.94,,0.093,1.39,0.092,,0.086,,,,,,
NSW,Avoca Lake,-33.465,151.435,modified,wave dominated,OTHER,0.22639,0.46223,0.02927,0.01465,0.0976,0.006,0.15206,,,,0.00564,,,0.04602,10.07,,0.63,1.39,0.6,0.63,0.044,,,,,,
NSW,Back Lagoon,-36.883,149.929,modified,wave dominated,OTHER,0.33253,0.32766,0.14619,0.02481,0.0103,,,,0.00292,,0.1042,,,4.70497,5.82,,0.41,1.38,0.63,,0.22,,,,,,
NSW,Baragoot Lake,-36.471,150.065,largely unmodified,wave dominated,OTHER,0.31216,0.47082,0.18258,0.05383,0.034,,,,0.00142,,,,,2.68991,5.27,,0.47,1.93,0.59,0.38,0.04,,,,,,
NSW,Bega River,-36.706,149.984,modified,wave dominated,WAVE-DOMINATED ESTUARY,1.79346,0.37899,1.29864,0.34935,0.5358,0.04052,0.02586,0.12513,0.02259,,2.73705,,,20.60032,39.92,1956,2.25,11.78,0.53,0.55,0.14,1.039,6.319,5.1,11.4,1.2,Semi Diurnal
NSW,Bellambi Creek,-34.364,150.92,extensively modified,wave dominated,OTHER,0.0617,,,,0.05426,0.03541,,,,,0.02761,,,,1.27,,0.031,0.58,,,,,,,,,
NSW,Bellambi Lake,-34.377,150.921,extensively modified,wave dominated,OTHER,0.06037,,,,0.02788,,,,,,0.04933,,,,1.24,,0.027,0.47,0.19,0.36,0.025,,,,,,
NSW,Bellinger River,-30.5,153.034,modified,river dominated,WAVE-DOMINATED DELTA,2.18638,,,0.506,0.98968,1.04625,0.10733,0.41242,,,4.48345,,2.25448,1.2067,72.86,1039,6.615,16.08,0.4,,0.33,1.373,7.135,6.7,14,1.3,Semi Diurnal
NSW,Belongil Creek,-28.626,153.592,modified,wave dominated,OTHER,,0.05355,,,0.47311,0.05171,0.06916,0.00395,,,0.11411,,,,4.26,41,0.15,1.89,0.26,,0.052,1.106,6.673,3.4,11.6,1.3,Semi Diurnal
NSW,Bermagui River,-36.425,150.065,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.20377,0.19928,0.97496,0.39799,0.27543,0.43458,0.3467,,0.12768,,0.63618,,0.1547,0.09129,19.6,78,0.87,7.68,0.25,1.05,0.089,1.259,6.605,6.1,11.9,1.1,Semi Diurnal
NSW,Berrara Creek,-35.209,150.548,largely unmodified,wave dominated,OTHER,,,,0.02972,0.15943,,,0.10808,0.07202,,0.23421,,,,6.96,,0.21,3.32,0.18,,0.072,,,,,,
NSW,Boambee Creek,-30.297,153.138,modified,river dominated,WAVE-DOMINATED DELTA,,,,0.03893,0.27191,0.1925,0.02391,0.04792,,,0.52504,,,,9.06,48,0.28,4.15,0.12,,0.067,0.68,7.427,4.9,14.4,1.3,Semi Diurnal
NSW,Bonville Creek,-30.376,153.101,largely unmodified,river dominated,WAVE-DOMINATED DELTA,0.60379,,,0.19045,0.00691,0.11506,0.30348,0.11802,,,0.84558,,,,31.42,162,1.323,7.29,0.45,1.59,0.052,0.68,7.427,4.9,14.4,1.3,Semi Diurnal
NSW,Botany Bay,-34.003,151.234,extensively modified,tide dominated,OTHER,,,0.05194,,4.38422,6.71176,2.52822,0.46381,0.49049,,56.81502,,,1.44722,49.39,1143,38.31,8.72,7.77,,1.37,1.322,6.83,9.2,13.1,1.2,Semi Diurnal
