"estuary","slopes","ci.up","ci.low","pvals","s.pvals","STATE","DLAT","DLONG","CONDITION","CLASSIFICATION","SUBCLASS","BARRIER_BACKBARRIER","CENTRAL_BASIN","FLUVIAL_BAYHEAD_DELTA","FLOOD_EBB_DELTA","INTERTIDAL_FLATS","MANGROVE","SALTMARSH_SALTFLAT","TIDAL_SANDBANKS","ROCKY_REEF","CORAL","CHANNEL","BEDROCK","FLOODPLAIN","BEDROCK_PERIMETER","PERIMETER","CATCHMENTAREA","WATERAREA","MAXLENGTH","MAXWIDTH","ENTLENGTH","ENTRANCEWIDTH","MEANWAVEHEIGHT","MEANWAVEPERIOD","MAXWAVEHEIGHT","MAXWAVEPERIOD","TIDALRANGE","TIDALTYPE"
"Accident Inlet",8.07270598995059e-06,1.36848111976394e-05,2.46060078226178e-06,0.00412540042396412,2.37712545868316e-36,"QLD",-17.184,140.939,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.43,1889,3.8,27.38,NA,NA,0.48,0.034,3.482,0.4,10,3.3,"Diurnal"
"Adelaide River",-2.26068592598375e-06,2.62693264439941e-06,-7.14830449636691e-06,0.355216471196898,3.39210910730187e-33,"NT",-12.204,131.214,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,0.44738,135.68163,94.26621,NA,0.20029,NA,42.69572,NA,34.22155,NA,254.83,7216,53.92,68.7,NA,NA,3.85,0.061,3.539,1,6.2,3.7,"Semi Diurnal"
"Aire River",2.6683443134634e-05,5.05283943844139e-05,2.83849188485415e-06,0.0263570256395096,2.6614747616448e-07,"VIC",-38.807,143.461,"modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.82,279,1.46,6.89,0.39,2.95,0.031,2.315,8.914,8,14.4,1,"Diurnal"
"Albert River",5.90199665697276e-06,1.35728101976954e-05,-1.76881688374989e-06,0.124547224705304,2.17969403971135e-20,"QLD",-17.566,139.758,"near pristine","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.42,20941,21.98,49.88,NA,NA,0.73,0.268,2.885,1.9,5.9,3.5,"Diurnal"
"Alligator Creek",1.07436150993422e-06,1.17296526165671e-05,-9.58092959669868e-06,0.840487767860507,0.476396488042161,"QLD",-19.303,146.927,"largely unmodified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,2.28556,0.3818,4.90382,5.01612,NA,NA,NA,1.06838,NA,NA,1.28889,NA,149,NA,NA,NA,NA,NA,0.186,5.528,1.5,10,2.3,"Semi Diurnal"
"Althaus Creek",-1.24282702745204e-06,9.38374090331136e-06,-1.18693949582154e-05,0.815319027843221,0.0209342349267029,"QLD",-19.152,146.601,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.04306,NA,NA,0.29877,0.06036,0.35778,0.61008,NA,NA,NA,0.13817,NA,0.09818,NA,9.32,81,0.29,2.73,NA,NA,0.045,0.583,5.512,2.8,12.7,2.5,"Diurnal"
"Anderson Inlet",6.1352059122332e-06,2.44762768792541e-05,-1.22058650547877e-05,0.504396092071785,4.40382122607414e-05,"VIC",-38.65,145.721,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.4693,NA,0.83757,2.71268,13.25415,0.96114,5.58578,0.21311,NA,NA,7.7043,NA,NA,0.06494,82.4,1715,12.648,17.65,0.69,NA,1.54,1.541,8.508,5.3,14.8,2,"Semi Diurnal"
"Andoom Creek",1.6761985138463e-05,2.321385657057e-05,1.0310113706356e-05,4.48229776924707e-07,9.97471219093309e-12,"QLD",-12.587,141.88,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,2.38756,2.43559,8.80407,3.83593,NA,NA,NA,1.53084,NA,NA,0.03349,26.42,172,1.89,8.34,NA,NA,0.77,0.046,3.799,0.7,9.9,2.1,"Diurnal"
"Andranangoo Creek",1.02552296017579e-05,1.91642213939351e-05,1.34623780958073e-06,0.02218364920779,1.85419378256535e-16,"NT",-11.353,130.846,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.83,529,1.71,7.85,NA,NA,0.58,0.478,4.142,2.3,7.6,2.8,"Semi Diurnal"
"Anguruki Creek",1.13527461530853e-05,1.58580719381989e-05,6.84742036797164e-06,7.12442366222427e-07,1.79307484773341e-29,"NT",-13.953,135.941,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.58,46,1.49,2.74,0.75,1.33,0.28,0.405,3.227,1.7,6.3,1.8,"Diurnal"
