"estuary","slopes","ci.up","ci.low","pvals","s.pvals","STATE","DLAT","DLONG","CONDITION","CLASSIFICATION","SUBCLASS","BARRIER_BACKBARRIER","CENTRAL_BASIN","FLUVIAL_BAYHEAD_DELTA","FLOOD_EBB_DELTA","INTERTIDAL_FLATS","MANGROVE","SALTMARSH_SALTFLAT","TIDAL_SANDBANKS","ROCKY_REEF","CORAL","CHANNEL","BEDROCK","FLOODPLAIN","BEDROCK_PERIMETER","PERIMETER","CATCHMENTAREA","WATERAREA","MAXLENGTH","MAXWIDTH","ENTLENGTH","ENTRANCEWIDTH","MEANWAVEHEIGHT","MEANWAVEPERIOD","MAXWAVEHEIGHT","MAXWAVEPERIOD","TIDALRANGE","TIDALTYPE"
"Accident Inlet",5.84366869428913e-06,1.01570869831266e-05,1.53025040545162e-06,0.00688517637142102,1.39274519733788e-54,"QLD",-17.184,140.939,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.43,1889,3.8,27.38,NA,NA,0.48,0.034,3.482,0.4,10,3.3,"Diurnal"
"Adelaide River",-3.92275118813885e-06,-6.22315922023871e-07,-7.22318645425383e-06,0.017688101339506,1.73622192454047e-13,"NT",-12.204,131.214,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,0.44738,135.68163,94.26621,NA,0.20029,NA,42.69572,NA,34.22155,NA,254.83,7216,53.92,68.7,NA,NA,3.85,0.061,3.539,1,6.2,3.7,"Semi Diurnal"
"Aire River",-1.19773315639722e-06,6.95201736828121e-06,-9.34748368107565e-06,0.769125321959783,0.000225657530724596,"VIC",-38.807,143.461,"modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.82,279,1.46,6.89,0.39,2.95,0.031,2.315,8.914,8,14.4,1,"Diurnal"
"Albert River",4.24488820787401e-06,9.90147059255472e-06,-1.4116941768067e-06,0.134085073975924,9.47555165559247e-26,"QLD",-17.566,139.758,"near pristine","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.42,20941,21.98,49.88,NA,NA,0.73,0.268,2.885,1.9,5.9,3.5,"Diurnal"
"Alligator Creek",-1.49561536057858e-06,7.24644219209917e-06,-1.02376729132563e-05,0.732763718948371,0.107973723173837,"QLD",-19.303,146.927,"largely unmodified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,2.28556,0.3818,4.90382,5.01612,NA,NA,NA,1.06838,NA,NA,1.28889,NA,149,NA,NA,NA,NA,NA,0.186,5.528,1.5,10,2.3,"Semi Diurnal"
"Althaus Creek",3.07066241841628e-07,8.35013722232065e-06,-7.7360047386374e-06,0.939220163930415,0.90428767282512,"QLD",-19.152,146.601,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.04306,NA,NA,0.29877,0.06036,0.35778,0.61008,NA,NA,NA,0.13817,NA,0.09818,NA,9.32,81,0.29,2.73,NA,NA,0.045,0.583,5.512,2.8,12.7,2.5,"Diurnal"
"Anderson Inlet",-4.81885483744694e-06,1.01544231890492e-05,-1.97921328639431e-05,0.520647463420565,0.1504599660543,"VIC",-38.65,145.721,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.4693,NA,0.83757,2.71268,13.25415,0.96114,5.58578,0.21311,NA,NA,7.7043,NA,NA,0.06494,82.4,1715,12.648,17.65,0.69,NA,1.54,1.541,8.508,5.3,14.8,2,"Semi Diurnal"
"Andoom Creek",2.48657695716274e-06,7.12763092016645e-06,-2.15447700584097e-06,0.285013635146458,0.424109028192784,"QLD",-12.587,141.88,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,2.38756,2.43559,8.80407,3.83593,NA,NA,NA,1.53084,NA,NA,0.03349,26.42,172,1.89,8.34,NA,NA,0.77,0.046,3.799,0.7,9.9,2.1,"Diurnal"
"Andranangoo Creek",-6.57957925608561e-07,5.5276701155703e-06,-6.84358596678742e-06,0.831714843462269,3.0300777383222e-13,"NT",-11.353,130.846,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.83,529,1.71,7.85,NA,NA,0.58,0.478,4.142,2.3,7.6,2.8,"Semi Diurnal"
"Anguruki Creek",6.70245353502528e-06,1.05809380686049e-05,2.8239690014457e-06,0.000606981921595253,7.51735149715573e-37,"NT",-13.953,135.941,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.58,46,1.49,2.74,0.75,1.33,0.28,0.405,3.227,1.7,6.3,1.8,"Diurnal"
"Annan River",-7.76787809878969e-07,3.49368208440101e-06,-5.04725770415895e-06,0.716248283054744,5.8573583798601e-08,"QLD",-15.53,145.271,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.35952,NA,NA,1.69066,0.1262,4.5125,1.8362,0.83717,NA,NA,2.02314,NA,NA,1.45581,37.49,992,3.01,13.48,0.74,NA,0.19,0.797,6.056,2.1,14,2,"Semi Diurnal"
"Ansons Bay",-1.07593718453284e-05,3.76195617545069e-08,-2.15563632524112e-05,0.047036928150273,3.27744383012344e-28,"TAS",-41.063,148.298,"modified","wave dominated","WAVE-DOMINATED ESTUARY",2.08117,4.13874,0.04809,0.54213,0.2369,NA,0.04956,NA,0.42715,NA,0.24273,NA,NA,0.06896,21.65,296,4.69,8.53,2.26,2.02,0.12,0.97,6.114,3,9.9,1.3,"Diurnal"
"Apsley Strait",7.63403162365725e-07,8.06903578279552e-06,-6.54222945806407e-06,0.834608318502662,0.114295773357155,"NT",-11.319,130.37,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.97,1790,246.92,69.69,5.23,NA,14.49,0.074,6.296,1.1,14.7,3.4,"Semi Diurnal"
"Archer Bay",2.00300090229486e-06,5.62220913273042e-06,-1.6162073281407e-06,0.268815342032073,3.8870611014474e-19,"QLD",-13.348,141.651,"near pristine","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.35,16310,66.12,37.49,NA,NA,2.14,0.125,3.666,2.3,11.4,1.7,"Diurnal"
"Arnhem Bay",5.86121745059296e-06,1.13397292841317e-05,3.82705617054235e-07,0.0327244148376671,7.77360941963895e-06,"NT",-12.22,136.098,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.07,5092,1123.85,42.31,43.15,NA,14.31,0.157,2.559,0.9,6.7,4.1,"Semi Diurnal"
"Arthur River",8.18550600272274e-07,1.25306063027566e-05,-1.0893505102212e-05,0.889071657843486,0.00280001875527495,"TAS",-41.054,144.663,"near pristine","wave dominated","OTHER",0.05951,NA,NA,0.11535,0.12319,NA,0.2041,NA,0.04024,NA,1.64452,NA,NA,NA,30.23,2496,2.06,14.14,NA,NA,0.12,2.85,8.734,10.5,13.4,1.8,"Semi Diurnal"
"Ashburton River",7.18744226594688e-06,1.14135487473431e-05,2.96133578455064e-06,0.00072823254806436,8.09345126323331e-15,"WA",-21.69,114.914,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,2.87303,2.98174,28.12473,0.05251,NA,NA,3.28681,NA,NA,2.70283,44.12,78420,3.78,21.47,NA,NA,0.66,0.384,3.388,1.6,7.7,1.8,"Semi Diurnal"
"Auckland Inlet",-1.54939935506548e-06,2.09555643708482e-06,-5.19435514721579e-06,0.395696816662153,2.03706987791087e-53,"QLD",-23.833,151.252,"extensively modified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,0.20497,0.11237,NA,NA,NA,1.41956,NA,NA,0.00944,19.52,56,1.02,6.97,0.16,0.13,0.18,0.44,6.241,2.1,9.8,3.2,"Semi Diurnal"
"Avoca Lake",-5.53937809248264e-07,5.43180229804891e-06,-6.53967791654544e-06,0.853273763244712,0.00460512574906424,"NSW",-33.465,151.435,"modified","wave dominated","OTHER",0.22639,0.46223,0.02927,0.01465,0.0976,0.006,0.15206,NA,NA,NA,0.00564,NA,NA,0.04602,10.07,NA,0.63,1.39,0.6,0.63,0.044,NA,NA,NA,NA,NA,""
"Back Lagoon",7.08577543552036e-08,3.9264155106024e-06,-3.78470000189199e-06,0.970691794226209,0.000596496721108006,"NSW",-36.883,149.929,"modified","wave dominated","OTHER",0.33253,0.32766,0.14619,0.02481,0.0103,NA,NA,NA,0.00292,NA,0.1042,NA,NA,4.70497,5.82,NA,0.41,1.38,0.63,NA,0.22,NA,NA,NA,NA,NA,""
"Baffle Creek",-1.3633348202465e-06,5.22607954341877e-06,-7.95274918391177e-06,0.679263713821485,5.27609117449658e-07,"QLD",-24.514,152.059,"near pristine","river dominated","TIDE-DOMINATED DELTA",0.33673,NA,NA,1.78669,2.59902,2.50227,3.38417,0.71651,NA,NA,7.59418,NA,NA,1.94616,74.83,2652,9.95,19.81,0.84,NA,0.41,0.863,5.836,2.7,9.1,2.3,"Semi Diurnal"
