"slopes","pvals","estuary"
2.22857249356317e-07,0.958938065431041,"Towamba River"
-9.70810621161406e-06,0.0762637476688998,"Nullica River"
1.62926821038422e-05,0.00465301851759953,"Twofold Bay / Eden"
1.49413136919381e-05,8.54870366534712e-05,"Pambula Lake"
1.66968424022299e-05,3.83789048388486e-05,"Merimbula Lake"
1.52989136829651e-05,0.00313987735198717,"Wonboyn River"
1.1328576520604e-05,0.00137395787524558,"Curalo Lagoon"
5.24970389832212e-06,0.0835301089791023,"Bega River"
5.50391965037416e-06,0.123475658147767,"Back Lagoon"
2.49471486521167e-05,3.43133813918264e-09,"Wallagoot Lake"
3.57869557919827e-06,0.905858300443085,"Merrica River"
1.486528927364e-06,0.774146565860228,"Nadgee Lake and Inlet"
1.01317410879797e-05,0.006393634246116,"Nelson Lagoon"
1.57611431110556e-05,0.00094516106973248,"Middle Lagoon"
1.30060593959654e-05,0.000248486260664701,"Wapengo Lagoon"
2.07956911514309e-06,0.443680696570047,"Tuross Lake"
3.06740625651963e-06,0.298616869159023,"Wallaga Lake"
9.6816459823602e-06,0.000253980100973567,"Cuttagee Lake"
1.12281452194602e-05,0.000963527592778289,"Moruya River"
1.59082927295995e-05,4.43773326747033e-05,"Murrah Lagoon"
1.4437702345625e-05,1.80857400162533e-05,"Bermagui River"
9.9331281565243e-06,0.0727510661934986,"Bunga Lagoon"
6.34697768125618e-06,0.0452091959090965,"Baragoot Lake"
2.12349339402803e-05,5.58968073626387e-08,"Wagonga Inlet"
1.17042725062097e-05,0.000854322727444981,"Lake Mummuga"
6.80089707512544e-06,0.0472973875610569,"Lake Brou"
1.0899005896465e-05,0.000292704374357748,"Corunna Lake"
7.94508389293075e-06,0.00407001517996441,"Coila Lake"
8.75405099879129e-07,0.7333809372592,"Tilba Tilba Lake"
2.04263652696943e-05,5.63740206903141e-07,"Kianga Lake"
1.67309182093369e-05,1.78694440713378e-06,"Lake Tarourga"
1.98956621010413e-05,1.91543758907879e-08,"Nangudga Lake"
9.24609847146265e-06,0.134872074178928,"Meringo Creek and Lagoon"
1.27150908829007e-05,0.0190542474203083,"Tomaga River"
2.03227103884513e-05,0.33082103169666,"Congo Creek and Lagoon"
0.000111777452153273,0.000346690145296855,"Candlagan Creek and Lagoon"
2.61787797812051e-05,1.03244644063427e-06,"Cullendulla Creek"
2.34112582703581e-06,0.403843565913012,"Durras Lake"
2.62946701340668e-05,6.8146851733754e-10,"Meroo Lake"
1.21001614554037e-05,0.0303013380874356,"Willinga Lake"
1.84799511821487e-05,5.42631094087267e-05,"Termeil Lake"
1.31848417355097e-05,2.67720418743613e-05,"Tabourie Lake"
1.11646503822184e-05,0.00163138555520859,"Burrill Lake"
1.39287981560397e-05,0.000906260323187689,"Lake Conjola"
5.13057603401335e-06,0.83084628649555,"Narrawallee Inlet"
1.73844824055148e-05,2.24859561985953e-06,"Shoalhaven/Crookhaven River"
2.80942663739545e-05,1.31086978903748e-07,"Ulladulla Harbour/Millards Creek"
1.42121087327011e-05,7.71239208984038e-05,"Saint Georges Basin"
1.66635360961457e-05,0.0616320070648824,"Nerrindillah Creek"
1.70575955896253e-05,9.26932191846541e-06,"Swan Lake"
4.84433573617638e-06,0.34829431881995,"Currambeen Creek"
1.73480870530211e-05,0.00314920639828518,"Jervis Bay"
1.48710561901585e-05,1.36213225588244e-05,"Wollumboola Lake"
2.58898275113758e-05,1.61951688402032e-19,"Lake Illawarra"
-1.18136839579283e-07,0.986669917673671,"Crooked River and Lagoon"
1.67944901340434e-05,0.00898406963430651,"Werri Lagoon"
-9.1563761109552e-06,0.206288286959166,"Minnamurra River"
2.01441907839596e-05,1.65176774698324e-11,"Hawkesbury River"
9.91437353028291e-06,0.122078153222887,"Fairy Creek"
2.17102022472816e-05,1.66901539149786e-08,"Botany Bay"
1.76093579785352e-05,8.52460225682388e-06,"Port Jackson"
1.43265785492068e-05,0.00737172992793214,"Port Hacking"
5.47197216586368e-06,0.191380994923782,"Narrabeen Lagoon"
2.21888415070929e-05,3.47858807870148e-05,"Pittwater"
6.65145958437549e-05,6.76462936016418e-05,"Manly Lagoon and Creek"
-9.08196934735556e-06,0.180057282817112,"Dee Why Lagoon"
